"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value"
"FF","2017-05-17","93.3","1.0787","6.2264","Clayton Kershaw",460026,477132,"single","hit_into_play_no_out",,,,,"1","Nick Hundley singles on a line drive to left fielder Cody Bellinger.  ","R","R","L","SF","LAD","X","null","line_drive",3,2,2017,"0.3249","1.5222","-0.5498","3.0453","null","null","null",2,6,"Bot","83.71","124.84",,,518735,,"170517_213051",,,,,,,"3.3190","1.5130","176","66.9","17.2930","92.8090","2254","6.0500",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.4507","0.531","0.496","0.90",1,1,0
"FF","2017-05-17","92.5","0.9544","6.2888","Clayton Kershaw",460026,477132,"null","foul",,,,,"13","null","R","R","L","SF","LAD","S","null","null",3,2,2017,"0.0098","1.8431","-1.1727","1.7630","null","null","null",2,6,"Bot","null","null",,,518735,,"170517_213022",,,,,,,"3.3190","1.5130","null","null","null","92.6610","2286","6.5130",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"53.9884","0.000","0.000","null","null","null","null"
"FF","2017-05-17","93.1","1.1071","6.2482","Clayton Kershaw",460026,477132,"null","foul",,,,,"4","null","R","R","L","SF","LAD","S","null","null",3,1,2017,"-0.3297","2.0313","-0.7641","2.3216","null","null","null",2,6,"Bot","null","null",,,518735,,"170517_212959",,,,,,,"3.3190","1.5130","null","null","null","92.7530","2245","6.2640",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.2374","0.000","0.000","null","null","null","null"
"FF","2017-05-17","92.7","1.2417","6.1959","Clayton Kershaw",460026,477132,"null","called_strike",,,,,"2","null","R","R","L","SF","LAD","S","null","null",3,0,2017,"-0.2590","2.0063","-0.1376","2.9726","null","null","null",2,6,"Bot","null","null",,,518735,,"170517_212941",,,,,,,"3.3190","1.5130","null","null","null","92.2690","2265","6.1490",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.3525","0.000","0.000","null","null","null","null"
"FF","2017-05-17","93.3","1.0332","6.2550","Clayton Kershaw",460026,477132,"null","ball",,,,,"13","null","R","R","L","SF","LAD","B","null","null",2,0,2017,"-0.2161","2.1710","-1.4638","2.0299","null","null","null",2,6,"Bot","null","null",,,518735,,"170517_212923",,,,,,,"3.3190","1.5130","null","null","null","92.4220","2273","6.2130",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.2881","0.000","0.000","null","null","null","null"
"FF","2017-05-17","92.8","0.9911","6.3019","Clayton Kershaw",460026,477132,"null","ball",,,,,"13","null","R","R","L","SF","LAD","B","null","null",1,0,2017,"-0.1070","2.2992","-0.8140","1.3918","null","null","null",2,6,"Bot","null","null",,,518735,,"170517_212906",,,,,,,"3.3190","1.5130","null","null","null","91.4900","2359","6.0850",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.4159","0.000","0.000","null","null","null","null"
"FF","2017-05-17","92.8","1.1302","6.4224","Clayton Kershaw",460026,477132,"null","ball",,,,,"11","null","R","R","L","SF","LAD","B","null","null",0,0,2017,"-0.2937","2.4207","-0.1366","3.9967","null","null","null",2,6,"Bot","null","null",,,518735,,"170517_212851",,,,,,,"3.3190","1.5130","null","null","null","91.6380","2333","6.0140",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.4868","0.000","0.000","null","null","null","null"
"CU","2017-05-17","73.8","0.7445","6.5606","Clayton Kershaw",491676,477132,"field_out","hit_into_play",,,,,"9","Gorkys Hernandez lines out to center fielder Joc Pederson.  ","R","R","L","SF","LAD","X","8","line_drive",0,2,2017,"-0.2155","-1.1150","0.3336","1.4976","null","null","null",1,6,"Bot","134.39","74.88",,,518735,,"170517_212807",,,,,,,"3.4110","1.5650","297","89.7","19.1000","72.4300","2307","5.4440",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"55.0571","0.411","0.429","0.00",1,0,0
"FF","2017-05-17","93.9","2.0304","5.9193","Clayton Kershaw",491676,477132,"null","foul",,,,,"2","null","R","R","L","SF","LAD","S","null","null",0,2,2017,"-0.8882","1.9547","0.0492","2.8839","null","null","null",1,6,"Bot","null","null",,,518735,,"170517_212723",,,,,,,"3.4110","1.5650","null","null","null","92.5290","2346","5.9780",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.5233","0.000","0.000","null","null","null","null"
"FF","2017-05-17","92.5","1.1359","6.2575","Clayton Kershaw",491676,477132,"null","foul",,,,,"2","null","R","R","L","SF","LAD","S","null","null",0,1,2017,"-0.2836","1.6466","0.1955","2.8936","null","null","null",1,6,"Bot","null","null",,,518735,,"170517_212655",,,,,,,"3.4110","1.5650","null","null","null","91.9580","2273","5.9430",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.5576","0.000","0.000","null","null","null","null"
